user_name,english,universal,username,language,"Types of accounts (1 bots; 2 media; 3 government organisations, corporate agency accounts; 4 accredited community members, opinion leaders, etc.)",Certified or not,note
741264570015227905,3.8,0.6,Freediver_Doris,de,0,2,account lockout
99278178,3.8,1.2,gos_dep1,uk,0,2,account lockout
1444278829191610383,3.4,2,Mieyamagch,ja,0,2,account lockout
987219654161633280,3.4,1.7,JaCy1892,en,0,2,account lockout
1281618367246458880,3.4,1.4,Bobby39502774,en,0,2,account lockout
TronAleks,3.4,2.3,TronAleks,es,0,2,account lockout
DeItaone,3.4,3.4,DeItaone,en,0,2,account lockout
1458096751827722253,5,5,SandraD41222596,en,1,2,
HarryPotterMAGE,5,5,HarryPotterMAGE,en,1,2,
selectttt,5,5,selectttt,en,1,2,
1307424375122137093,4.9,4.9,MelissaV007,en,1,2,
ElectBlue2022,4.9,5,ElectBlue2022,en,1,2,
AuroraBlogspot,4.9,4.8,AuroraBlogspot,en,1,2,
Guiosvald,4.9,4.8,Guiosvald,es,1,2,
bkaydw,4.9,4.9,bkaydw,en,1,2,
4835533666,4.8,4.6,rickaking,en,1,2,
2615155192,4.8,4.6,NewsJunkie60,en,1,2,
1347246286681092099,4.8,4.6,JohnAra10972801,en,1,2,
362084030,4.8,4.4,JesusNarrowWay,en,1,2,
823583598661906432,4.8,4.8,LoreyJeanene,en,1,2,
830905941855989761,4.8,4.9,Trumpgot2go,en,1,2,
1148408072,4.8,4.8,MaryMary0414,en,1,2,
501397421,4.8,4.8,BeverlyFolkers,en,1,2,
16531257,4.8,4.4,macadee,en,1,2,
93341319,4.8,4.8,silverfemale1,en,1,2,
1706203484,4.8,4.4,gmarie55,en,1,2,
2485308468,4.8,4.8,ProtectingTerra,en,1,2,
1443252596475637763,4.8,4.6,Tucsonbelle,en,1,2,
1599540866,4.8,4.9,Sensei415,en,1,2,
2900139381,4.8,4.6,JoaniSparkles,en,1,2,
Baoliaogeming64,4.8,4.1,Baoliaogeming64,zh,1,2,
17StQrm,4.8,5,17StQrm,en,1,2,
theIOpod,4.8,5,theIOpod,en,1,2,
ARminhTran,4.8,4.6,ARminhTran,zh,1,2,
BLACKLISTOFWEST,4.8,4.9,BLACKLISTOFWEST,und,1,2,
1497462582910795779,4.7,4.1,Nando571707,en,1,2,
1251070734669090817,4.7,4.6,independentob10,en,1,2,
1274499149996703744,4.7,4.4,FairyLight20,en,1,2,
765296237331357696,4.7,4.6,proudCanadavet,en,1,2,
270921976,4.7,4.6,mog7546,en,1,2,
1929030181,4.7,4.9,marynlm,en,1,2,
1302994829811613698,4.7,4.6,allender_ann,en,1,2,
1233228870523817988,4.7,4.4,DJTrystyn,en,1,2,
308750887,4.6,4.7,textifyer59,en,1,2,
1291502143342510082,4.6,4.7,GShelia1951,en,1,2,
2690113633,4.6,3.4,michaelfl79,en,1,2,
22924291,4.6,4.8,rrnunez,en,1,2,
1502683529616015366,4.6,4.1,llovlo,en,1,2,
1545834288,4.6,4.6,Jillsey11,en,1,2,
421933415,4.6,4.9,RosemarieBrown3,en,1,2,
766425702543622144,4.6,4.4,Shortygrandma54,en,1,2,
828030159932395520,4.6,4.8,ShirleyDebalsi,en,1,2,
1447627071182757900,4.6,4.6,rerecasuto,und,1,2,
245475364,4.6,3,franklinovoa,es,1,2,
23871907,4.6,4.8,philvalentine,en,1,2,
4342369593,4.6,4.9,jennifersterri1,en,1,2,
2533448468,4.6,3.4,Luntig28,uk,1,2,
Alerta_News_,4.6,4.1,Alerta_News_,es,1,2,
TCRG2012,4.6,4.8,TCRG2012,en,1,2,
